,gamename,avg,publisher,developer,tag_common,multi,genre_common,plat_count
487,0,96.56701923076918,171,13,20,0,2,1
488,0,437.21934426229507,1,1,7,1,4,2
490,0,67.9764423076923,25,6,20,0,1,7
492,0,64019.016478873265,25,9,20,0,2,6
493,0,723.6404807692309,25,6,20,0,1,8
494,0,179.82673076923072,25,6,20,0,1,8
495,0,1265.8500000000001,50,5,20,0,4,8
496,0,1338.4373333333335,1,1,20,0,2,1
497,0,131.76307692307682,6,5,20,1,2,3
498,0,3057.467954545455,3,4,20,0,4,1
499,0,51.687123287671234,13,20,20,0,1,8
501,0,26.0245945945946,294,4,20,0,3,3
502,0,38.41153846153847,4,8,20,0,3,3
503,0,227.10152941176472,1,1,20,0,3,1
505,0,38.60311827956988,5,5,20,0,3,3
506,0,194.55524271844664,6,7,20,0,4,3
509,0,276.43411764705894,17,7,20,0,2,3
511,0,400.8528846153847,33,42,20,0,2,4
513,0,227.22355769230765,33,42,20,0,1,3
514,0,136.54721153846157,33,42,20,0,1,5
515,0,176.75499999999994,33,42,20,0,1,5
518,0,38.02798076923077,33,22,20,0,1,4
519,0,73.75548076923074,33,22,20,0,1,3
520,0,54.64211538461537,33,42,20,0,1,3
521,0,89.42912087912087,2,3,20,1,4,6
522,0,226.12749999999997,7,9,19,0,1,2
523,0,75.17387499999998,3,8,20,0,3,5
525,0,19.813375,100,1,20,0,3,7
526,0,28.739027777777792,3,7,20,0,2,1
527,0,286.4245192307692,269,140,18,0,1,2
528,0,13680.947457627115,269,140,20,1,2,3
529,0,80.67603448275861,5,5,20,0,4,1
530,0,1775.8471428571434,63,1,20,0,5,1
531,0,164.011,3,10,20,0,3,4
533,0,23.187246376811597,1,1,20,0,3,4
534,0,381.53658823529406,3,13,20,1,5,3
535,0,3349.190957446808,3,3,20,0,5,1
536,0,819.9034246575342,5,6,20,0,2,2
537,0,11.960117647058821,9,10,14,0,3,4
538,0,32.39301886792454,1,2,20,0,3,6
539,0,743.7973999999999,1,1,20,0,1,4
540,0,95.53096153846157,5,5,20,0,1,5
541,0,249.77562500000008,1,1,20,0,5,1
542,0,2520.5756862745097,1,3,20,0,3,6
545,0,62.21894230769231,90,3,15,0,1,3
546,0,152.1744776119403,90,5,20,0,2,3
547,0,263.35797297297296,1,2,20,0,2,3
549,0,213.7871287128714,100,5,20,0,2,6
550,0,298.99222222222227,100,5,20,0,2,8
551,0,1475.8623913043477,2,6,20,0,2,5
552,0,192.38022222222227,1,1,20,0,5,1
553,0,146.72573033707866,58,15,20,0,3,6
554,0,172.4242424242424,58,15,20,0,3,3
555,0,2820.774385964913,20,3,20,0,2,8
556,0,98.6169491525424,2,2,20,0,2,3
557,0,327.59513513513514,2,2,20,0,4,3
558,0,3354.9024390243903,2,7,20,0,1,3
559,0,1158.7687301587298,1,1,20,1,3,2
560,0,115.41000000000003,1,1,20,0,4,7
562,0,26.917466666666673,9,8,19,0,4,6
563,0,58.843269230769224,7,2,20,0,3,6
564,0,135.05339285714285,2,3,20,0,3,5
566,0,915.633076923077,1,1,4,0,2,1
567,0,811.3534482758622,2,2,6,0,2,3
568,0,1093.665,269,140,17,0,2,3
569,0,1878.8257692307693,1,2,20,0,5,1
570,0,162.8132258064516,44,2,20,0,1,4
571,0,316.66974999999996,14,17,12,0,1,5
572,0,1619.7423762376236,2,3,20,1,3,3
573,0,2439.0555555555557,87,3,20,0,1,1
574,0,368.7757142857144,2,2,20,0,4,3
575,0,90.47645569620255,15,26,20,0,3,5
576,0,60.848870967741945,2,3,20,0,3,5
580,0,19.117843137254905,216,2,20,0,1,8
581,0,45.52238805970146,4,6,20,0,3,4
582,0,2396.6266666666666,16,28,20,0,2,3
583,0,664.645673076923,228,25,20,0,2,3
584,0,237.07666666666665,228,25,20,0,2,1
585,0,2000.1812698412696,228,25,20,0,2,3
587,0,123.98199999999997,1,2,19,0,1,6
588,0,1262.3690624999997,1,1,20,0,5,1
589,0,3453.5515624999994,1,3,20,0,2,5
591,0,1193.7909615384613,37,28,20,1,1,3
592,0,3455.175888888889,37,28,20,0,1,3
593,0,69.35420454545455,3,8,20,1,3,3
594,0,3710.6226315789477,8,18,20,0,3,3
595,0,103.29906976744188,4,5,20,0,3,6
596,0,166.76492307692305,20,1,20,0,3,3
597,0,203.864,20,5,20,0,3,8
599,0,384.0744680851064,1,2,20,0,3,3
600,0,336.3475961538463,3,4,20,0,2,3
601,0,2712.2666129032264,1,1,20,0,5,1
603,0,306.2131730769231,25,2,20,0,2,6
605,0,283.08449275362324,44,3,20,0,1,4
607,0,58.361466666666686,2,2,20,0,3,3
608,0,16.152736842105266,100,4,20,0,3,7
609,0,27.99095238095238,1,2,15,0,2,5
610,0,3309.8690909090906,1,1,10,0,6,1
611,0,23.5475,11,2,14,0,2,5
612,0,120.16223880597018,8,5,20,0,2,6
614,0,468.7260576923076,33,42,20,0,1,3
615,0,10398.14394230769,33,42,20,0,1,2
616,0,85.88586538461541,2,3,20,0,3,4
617,0,52.15240506329113,3,4,20,1,3,5
618,0,938.631153846154,7,5,20,0,4,1
619,0,378.7134482758621,228,8,20,0,1,5
622,0,204.0663636363636,2,2,20,0,4,1
623,0,46.2275,3,3,20,0,3,7
624,0,152.05037037037033,156,4,20,0,1,4
625,0,25.91818181818181,1,1,20,0,4,1
627,0,34.60568181818183,9,6,20,0,4,3
628,0,2897.1304761904753,1,1,4,1,3,2
630,0,534.6186885245901,7,1,20,0,4,4
631,0,58.2330303030303,18,22,7,0,3,2
632,0,63.77050000000002,18,22,5,0,3,4
633,0,34.28623762376237,5,7,20,0,3,1
634,0,12.465833333333332,2,2,20,0,4,1
635,0,136.6295833333334,22,2,20,0,1,3
636,0,134.42346666666666,22,1,20,0,2,5
637,0,3142.4422727272727,22,19,20,0,2,5
638,0,29.127411764705883,21,9,20,0,1,9
639,0,5535.709090909091,1,3,20,0,2,1
641,0,26.986730769230768,8,12,20,0,2,10
642,0,80.46864864864865,2,2,9,0,4,5
643,0,1018.3259523809525,6,1,20,0,2,6
649,0,95.22705882352942,6,2,20,0,4,3
650,0,304.80317307692314,269,24,20,0,2,2
651,0,113.56,269,6,20,0,2,4
653,0,857.9980582524267,5,1,20,0,4,1
655,0,829.3952500000001,8,8,5,0,4,2
658,0,377.68971153846155,44,6,20,0,2,3
659,0,415.0491346153846,44,6,20,0,3,5
662,0,34.245480769230774,25,10,20,0,1,10
663,0,326.54721153846157,25,10,20,0,1,4
664,0,50.65981481481482,10,16,20,0,3,3
668,0,149.4049315068493,4,8,20,0,4,1
669,0,13.003176470588233,1,1,20,0,1,3
671,0,1222.6181395348835,96,17,20,0,3,1
673,0,416.2366666666666,90,5,20,0,1,6
674,0,411.783076923077,90,5,20,0,1,6
676,0,1710.7422784810124,3,1,20,0,1,7
677,0,2701.1906249999997,14,6,20,0,3,3
680,0,120.85860759493673,1,2,19,0,3,7
681,0,750.80679245283,7,9,20,0,6,2
682,0,586.1664999999999,25,6,20,0,3,3
683,0,140.1839423076923,44,3,20,0,2,3
684,0,587.3571052631578,1,3,20,0,7,1
685,0,423.4646268656717,2,2,20,0,2,2
690,0,19.85517857142857,2,1,20,0,2,1
691,0,26.264807692307677,1,1,20,0,3,1
692,0,249.94881578947366,87,6,20,0,2,3
693,0,9.58379746835443,1,1,20,0,3,3
696,0,1064.669423076923,216,5,9,0,4,3
697,0,137.09490384615387,6,5,20,0,2,1
698,0,20910.5625,6,5,20,0,5,1
699,0,5922.135576923079,6,5,20,0,2,6
701,0,37.64987500000001,3,4,20,0,3,1
702,0,103.42746835443035,1,4,20,0,4,4
703,0,105.15714285714283,2,1,20,1,2,4
705,0,768.9779999999998,87,5,20,0,1,4
706,0,22.879125,1,1,20,1,3,4
707,0,218.10178571428574,18,3,20,0,2,4
708,0,618.4954716981132,1,1,20,0,4,1
709,0,1595.9319047619044,63,3,20,0,5,4
711,0,663.6618032786885,156,10,20,0,2,3
712,0,87.30493670886077,156,9,20,0,2,3
713,0,1775.702407407407,71,3,14,0,2,6
714,0,3343.284285714286,71,3,14,0,2,6
715,0,6267.0216666666665,71,3,14,0,2,6
716,0,15265.85833333333,71,3,14,0,2,6
717,0,9335.568333333335,71,3,14,0,2,6
718,0,40.9907462686567,115,11,20,0,2,3
719,0,73.38280000000002,115,11,20,0,2,3
720,0,46.009016393442636,115,11,20,0,2,3
721,0,67.77191489361702,115,11,20,0,2,3
723,0,395.07882352941175,8,12,20,0,3,2
724,0,667.8483870967744,11,11,20,0,6,1
728,0,2521.197701149426,6,3,20,0,4,3
729,0,148.35636363636365,3,2,20,0,3,1
730,0,610.5505555555555,156,4,20,0,2,2
731,0,39.3736046511628,4,6,20,0,3,4
732,0,1615.951875,228,1,20,0,2,3
733,0,120.5044,5,6,20,0,1,6
735,0,5355.3725454545465,4,6,20,0,1,3
738,0,1190.820740740741,5,5,20,0,3,6
739,0,223.7833707865169,3,4,20,0,3,6
741,0,8.35659090909091,2,3,17,0,2,3
744,0,107.73153846153845,3,3,20,0,4,1
746,0,48.605700000000006,1,1,19,0,3,10
747,0,78.55880952380957,2,2,20,0,3,3
748,0,40.37511904761904,83,4,20,0,2,1
749,0,54.27055555555556,469,3,20,0,3,2
750,0,880.1110526315791,3,3,8,0,3,3
751,0,66.41528846153847,3,6,20,0,3,2
752,0,372.1212621359222,3,6,20,0,3,1
753,0,411.87706896551737,42,4,20,0,1,4
756,0,159.14703703703702,10,1,20,0,5,1
757,0,1239.9550000000002,6,7,5,0,4,3
758,0,224.75736263736266,3,4,20,0,3,6
759,0,138.2464,3,4,20,0,3,4
760,0,858.2317391304347,90,2,20,0,1,3
761,0,174.34813559322038,63,4,20,0,3,4
763,0,38.581954022988505,1,1,20,0,2,3
764,0,55.292596153846155,29,3,20,0,1,4
765,0,41.69345454545454,5,5,20,0,3,5
766,0,39.24619047619048,3,2,20,0,2,8
767,0,4117.903508771931,15,26,20,0,2,3
768,0,20.367000000000004,156,9,20,0,1,4
769,0,16582.228058252433,6,37,20,0,1,3
770,0,349.2406730769231,17,3,20,0,1,2
771,0,529.0613953488372,11,4,20,0,2,4
774,0,220.96574257425732,3,4,20,0,3,3
775,0,7.261296296296298,4,10,17,0,3,1
777,0,132.61181818181817,1,1,20,1,3,3
778,0,16433.32796296296,13,5,20,0,2,5
779,0,295.1151648351647,2,2,20,0,2,5
780,0,59.00432835820895,50,2,20,0,3,7
781,0,18177.260674157307,1,1,20,0,6,3
782,0,2719.683,90,7,20,0,1,4
783,0,383.889,2,3,16,0,1,1
789,0,1319.1925352112673,269,35,20,0,1,5
790,0,1230.731282051282,6,35,20,0,1,6
792,0,99.73015384615384,5,6,20,0,4,2
793,0,540.5923529411764,1,2,20,1,4,6
794,0,2119.592909090909,16,28,20,0,5,1
795,0,99.15976190476188,2,3,20,1,5,3
796,0,5140.515625,1,28,8,0,3,1
797,0,2830.5123999999987,17,18,20,0,3,2
798,0,282.22134328358203,1,1,20,1,3,3
799,0,308.6459090909092,2,3,20,0,3,4
800,0,52.499677419354846,5,9,19,0,3,5
803,0,1.709305555555555,2,1,20,0,3,5
805,0,219.79449275362313,1,1,20,0,2,6
806,0,25.54380952380953,3,4,20,0,1,3
807,0,430.8858653846153,33,42,20,0,1,6
808,0,2243.2112500000003,33,42,20,0,2,5
809,0,581.7626229508195,58,10,20,0,3,6
810,0,544.214705882353,3,2,20,0,5,1
812,0,61.07290000000001,1,6,20,0,2,1
813,0,1613.4568750000005,269,15,20,0,3,6
814,0,867.7622222222221,87,13,5,0,3,1
817,0,439.43854166666665,5,12,20,0,1,3
818,0,1048.7030952380953,156,12,14,0,1,3
819,0,771.198977272727,1,2,20,1,4,3
820,0,60.06028846153846,142,3,20,0,2,5
821,0,86.67528846153846,13,20,20,0,1,10
822,0,118.46269841269842,50,5,20,0,3,8
823,0,97.43045454545455,4,7,20,0,3,4
824,0,871.5758139534881,71,24,20,0,3,1
